Id,SalePrice
1461,118476.46
1462,163716.31
1463,184413.23
1464,193615.53
1465,197942.44
1466,181837.77
1467,184469.47
1468,174685.81
1469,185796.67
1470,126167.234
1471,177484.47
1472,114295.75
1473,110821.445
1474,147575.33
1475,114595.66
1476,425505.2
1477,263036.72
1478,285536.03
1479,292732.9
1480,456732.1
1481,312739.97
1482,202726.58
1483,197533.97
1484,168945.98
1485,180571.19
1486,201089.31
1487,316982.0
1488,233812.88
1489,221580.47
1490,253713.72
1491,196238.7
1492,100909.89
1493,178620.8
1494,309685.94
1495,312310.1
1496,257275.1
1497,169092.92
1498,166025.53
1499,170456.75
1500,169419.4
1501,180979.19
1502,144441.06
1503,292190.44
1504,258106.16
1505,237868.62
1506,176563.05
1507,261589.9
1508,192448.53
1509,164300.67
1510,152466.62
1511,165128.62
1512,165900.22
1513,129686.39
1514,139323.9
1515,202435.95
1516,150624.47
1517,153664.28
1518,127187.19
1519,213769.44
1520,138828.69
1521,132192.55
1522,177928.95
1523,112399.67
1524,134785.8
1525,119687.336
1526,102884.47
1527,115194.64
1528,140966.77
1529,142990.14
1530,213026.14
1531,108990.375
1532,100490.31
1533,160983.55
1534,121782.93
1535,162835.45
1536,114504.88
1537,59180.29
1538,173504.77
1539,215452.77
1540,93283.82
1541,121166.7
1542,172626.56
1543,194365.7
1544,77280.87
1545,113375.27
1546,115943.29
1547,155615.03
1548,130305.84
1549,128394.695
1550,138454.12
1551,122785.7
1552,135564.44
1553,145617.27
1554,142640.42
1555,176977.38
1556,83725.87
1557,113787.06
1558,111509.21
1559,62243.32
1560,125095.57
1561,132800.06
1562,121727.79
1563,115694.25
1564,147183.14
1565,151510.45
1566,228008.08
1567,73990.12
1568,220723.5
1569,131213.69
1570,136462.61
1571,108730.93
1572,153815.69
1573,252976.92
1574,124685.26
1575,224291.0
1576,264242.44
1577,193143.34
1578,151263.25
1579,156285.4
1580,183801.56
1581,157739.64
1582,130138.33
1583,316226.6
1584,217638.52
1585,144691.08
1586,82035.36
1587,101201.766
1588,130392.445
1589,85086.99
1590,137729.2
1591,89286.414
1592,115613.484
1593,124814.984
1594,142611.73
1595,109191.055
1596,211577.08
1597,173113.42
1598,213157.11
1599,169310.53
1600,157171.98
1601,72701.3
1602,108103.6
1603,78001.28
1604,265638.8
1605,249006.84
1606,175518.62
1607,182651.64
1608,213011.03
1609,184632.4
1610,173074.02
1611,135433.77
1612,190141.72
1613,171976.89
1614,113218.016
1615,87379.086
1616,77529.36
1617,81583.18
1618,127458.375
1619,149983.38
1620,190860.42
1621,154157.45
1622,169879.03
1623,291342.66
1624,213222.86
1625,102125.86
1626,173632.42
1627,188318.84
1628,289572.38
1629,182321.05
1630,391071.03
1631,205405.88
1632,243759.44
1633,172060.67
1634,187681.39
1635,177280.22
1636,167306.94
1637,187810.94
1638,182859.11
1639,175873.17
1640,239577.67
1641,167521.23
1642,263712.8
1643,228544.97
1644,237630.8
1645,253095.48
1646,148688.2
1647,150116.56
1648,132943.0
1649,136585.61
1650,124885.72
1651,120295.07
1652,104027.47
1653,113472.58
1654,142214.62
1655,150705.89
1656,143472.84
1657,140096.84
1658,144208.81
1659,129562.92
1660,164568.19
1661,423107.97
1662,371902.0
1663,351477.25
1664,533600.56
1665,292605.44
1666,360182.47
1667,363830.22
1668,365575.28
1669,311198.1
1670,328724.38
1671,256475.94
1672,421991.5
1673,283772.3
1674,237733.42
1675,198303.08
1676,215861.53
1677,222166.28
1678,460965.03
1679,380324.66
1680,327916.62
1681,253611.03
1682,326143.84
1683,190831.05
1684,182370.02
1685,172832.56
1686,172816.47
1687,168712.39
1688,193488.77
1689,183426.11
1690,186225.02
1691,181534.97
1692,252319.61
1693,161433.52
1694,178892.69
1695,171521.14
1696,258099.11
1697,169835.97
1698,336135.6
1699,322846.7
1700,280317.25
1701,274840.06
1702,247951.75
1703,231131.48
1704,303498.06
1705,250867.64
1706,413703.1
1707,205157.89
1708,215855.05
1709,264087.2
1710,226103.98
1711,296613.62
1712,287027.56
1713,303548.97
1714,247757.72
1715,228716.67
1716,178334.66
1717,166303.42
1718,131881.75
1719,232985.81
1720,205276.25
1721,161907.73
1722,129798.72
1723,166284.06
1724,197661.12
1725,221645.98
1726,192484.38
1727,158823.67
1728,194283.88
1729,157954.92
1730,140670.44
1731,122526.586
1732,129846.445
1733,126396.875
1734,111221.6
1735,130540.31
1736,126228.51
1737,359514.3
1738,254573.31
1739,258856.11
1740,212470.47
1741,186532.64
1742,179600.3
1743,171810.38
1744,334790.2
1745,212706.1
1746,171909.53
1747,205476.45
1748,236188.86
1749,155650.88
1750,125215.51
1751,222160.98
1752,127221.766
1753,155833.9
1754,183430.42
1755,171999.67
1756,156060.6
1757,128557.01
1758,146462.89
1759,150700.62
1760,152792.95
1761,154759.14
1762,174459.73
1763,171864.25
1764,120896.016
1765,196605.06
1766,196811.98
1767,235117.3
1768,143473.72
1769,158031.5
1770,150728.84
1771,111869.336
1772,133493.97
1773,134819.61
1774,132645.11
1775,143413.25
1776,135042.55
1777,121441.84
1778,138899.75
1779,106378.92
1780,177313.72
1781,125159.2
1782,88915.27
1783,148090.23
1784,120160.11
1785,118302.2
1786,205549.97
1787,173484.94
1788,71186.445
1789,103771.06
1790,94160.03
1791,169406.08
1792,161248.0
1793,121070.47
1794,149577.69
1795,132772.84
1796,110837.35
1797,140424.14
1798,131007.28
1799,133162.52
1800,122886.46
1801,149611.47
1802,119426.766
1803,150807.6
1804,136198.97
1805,146844.34
1806,125387.18
1807,129799.555
1808,113281.48
1809,118511.375
1810,134081.4
1811,101615.09
1812,89567.77
1813,136075.97
1814,87466.195
1815,68521.81
1816,97536.47
1817,105122.54
1818,161528.88
1819,128044.7
1820,52004.836
1821,97810.555
1822,147816.27
1823,41837.53
1824,116491.836
1825,152977.64
1826,106011.586
1827,98465.125
1828,127102.16
1829,141998.14
1830,145840.44
1831,156819.66
1832,65866.88
1833,134263.11
1834,141119.83
1835,110957.125
1836,122330.305
1837,104832.09
1838,140036.31
1839,106747.53
1840,178704.11
1841,131063.45
1842,91997.234
1843,133771.38
1844,152670.2
1845,145131.9
1846,149845.33
1847,176560.0
1848,55178.977
1849,102959.12
1850,120965.52
1851,139795.61
1852,114950.94
1853,127828.32
1854,164746.98
1855,133064.81
1856,223509.06
1857,130772.2
1858,135245.06
1859,109878.6
1860,156316.19
1861,118294.82
1862,266587.47
1863,265018.56
1864,265031.9
1865,383046.16
1866,297054.1
1867,208056.9
1868,281718.97
1869,210059.92
1870,230021.3
1871,253985.6
1872,174695.31
1873,223230.88
1874,141334.69
1875,196689.55
1876,195383.47
1877,226356.06
1878,179637.89
1879,128371.88
1880,147143.34
1881,242416.27
1882,259366.53
1883,177385.16
1884,197161.38
1885,249717.5
1886,275015.62
1887,217112.0
1888,270298.88
1889,181851.25
1890,121733.24
1891,128685.56
1892,100824.13
1893,121747.31
1894,134824.83
1895,114843.34
1896,126567.38
1897,137069.05
1898,121253.13
1899,184133.55
1900,146974.77
1901,170217.2
1902,150404.88
1903,202679.56
1904,147688.81
1905,214794.02
1906,161271.28
1907,215232.53
1908,109725.27
1909,136684.06
1910,122258.02
1911,196661.12
1912,289332.97
1913,138556.75
1914,61769.594
1915,291772.56
1916,67682.26
1917,231349.73
1918,134147.55
1919,160936.12
1920,154496.67
1921,334921.56
1922,269099.72
1923,232492.94
1924,224100.81
1925,202959.7
1926,352937.84
1927,125497.05
1928,147717.12
1929,126167.94
1930,131745.89
1931,150548.73
1932,144722.28
1933,180710.19
1934,171874.3
1935,181971.36
1936,193188.08
1937,194831.58
1938,172610.98
1939,237540.61
1940,190731.31
1941,157944.42
1942,200242.33
1943,201942.48
1944,417227.12
1945,391398.7
1946,141708.69
1947,322058.62
1948,155643.11
1949,254964.8
1950,172631.14
1951,247633.1
1952,207017.34
1953,171389.5
1954,186639.4
1955,131832.77
1956,296186.72
1957,164374.39
1958,286404.88
1959,133789.6
1960,112958.34
1961,128310.76
1962,97704.05
1963,117803.22
1964,120868.49
1965,146072.7
1966,139955.33
1967,323824.34
1968,391374.4
1969,354003.03
1970,368273.97
1971,414189.94
1972,367065.3
1973,284796.66
1974,306603.34
1975,501511.9
1976,299636.34
1977,362328.9
1978,371216.53
1979,310277.72
1980,205409.86
1981,324578.6
1982,234506.88
1983,203068.1
1984,151936.02
1985,229032.56
1986,210024.52
1987,164055.62
1988,174061.45
1989,195006.4
1990,219739.31
1991,235314.02
1992,206161.48
1993,170097.34
1994,219319.75
1995,182720.67
1996,290010.5
1997,270270.12
